ID      Miles     Gross          Tax            Net            
---------------------------------------------------------------
D001    6000.00   9000.00        1590.50        7409.50        
D002    10000.00  10000.00       1790.50        8209.50        
D003    0.00      0.00           0.00           0.00           
D004    4000.00   5000.00        790.50         4209.50        
D005    40.00     100.00         0.00           100.00         
D006    1500.00   3000.00        390.50         2609.50        
D007    12000.00  21000.00       3990.50        17009.50       
D008    33000.00  47850.00       9360.50        38489.50       
D009    11000.00  19800.00       3750.50        16049.50       
