ID      Miles     Gross          Tax            Net            
---------------------------------------------------------------
D001    4000.00   6000.00        990.50         5009.50        
D002    3000.00   3000.00        390.50         2609.50        
D003    10000.00  10000.00       1790.50        8209.50        
D004    11000.00  13750.00       2540.50        11209.50       
D005    1000.00   2500.00        290.50         2209.50        
D006    10000.00  20000.00       3790.50        16209.50       
D007    5000.00   8750.00        1540.50        7209.50        
D008    30000.00  43500.00       8490.50        35009.50       
D009    2412.00   4341.60        658.82         3682.78        
D010    1500.00   1125.00        15.50          1109.50        
