ID      Miles     Gross          Tax            Net            
---------------------------------------------------------------
D002    1750.00   1750.00        140.50         1609.50        
D003    40000.00  40000.00       7790.50        32209.50       
D004    5000.00   6250.00        1040.50        5209.50        
D005    6831.00   17077.50       3206.00        13871.50       
D006    9999.00   19998.00       3790.10        16207.90       
D007    10000.00  17500.00       3290.50        14209.50       
D008    12345.00  17900.25       3370.55        14529.70       
D009    10000.00  18000.00       3390.50        14609.50       
D010    1.00      0.75           0.00           0.75           
